ProductName,Sales,Inventory,Price,December_2018,January,February,March,April,May,June,July,August,September,October,November,December_2019,MeanValue,TransactionNo,SafetyStock,LeadTime,ROP,Rating,Bio,Restock
Triple Wire Hook Pink Heart,79,1014,11.06,0.0,0.0,0.0,0.0,1.5,4.5,3.667,2.0,2.5,0.0,3.0,1.0,5.25,1.8013076923076925,3.125,2.0,0.63,3.1348238461538465,3.565656894164322,0,0
36 Foil Heart Cake Cases,2055,696,11.06,4.667,11.893,12.222,18.909,3.933,14.417,9.6,4.08,42.273,14.7,6.538,4.562,10.6,12.184153846153846,16.077,13.0,1.41,30.179656923076923,5.0,1,0
Wood Stocking Christmas Scandispot,1571,583,10.55,3.556,1.5,0.0,0.0,0.0,0.0,0.0,15.75,6.5,6.913,8.093,9.473,12.759,4.9649230769230766,23.125,5.0,0.42,7.085267692307692,3.912893307469751,0,0
Pantry Magnetic Shopping List,3346,13,11.53,0.0,0.0,0.0,0.0,0.0,0.0,7.917,9.254,6.6,6.48,7.027,5.304,6.406,3.768307692307692,71.857,4.0,1.29,8.861116923076924,4.284782864643959,0,0
Sketchbook Magnetic Shopping List,1492,16,11.74,0.0,0.0,0.0,0.0,0.0,0.0,6.5,8.108,4.212,7.704,5.375,4.643,6.955,3.3459230769230768,37.0,4.0,0.03,4.100377692307692,4.1153474581515725,1,0
Bull Dog Bottle Opener,874,43,15.32,0.0,0.0,0.0,5.308,3.741,5.862,2.48,2.421,2.19,2.543,2.5,2.933,2.235,2.477923076923077,27.0,3.0,2.61,9.46737923076923,4.72376021744568,0,0
Classic Cafe Sugar Dispenser,3292,507,11.53,0.0,0.0,0.0,0.0,0.0,11.256,8.75,7.095,10.95,10.255,9.684,9.087,5.636,5.593307692307691,45.125,6.0,2.49,19.92733615384615,4.471421493800943,1,0
Small Ceramic Top Storage Jar,5847,213,10.96,0.0,0.0,0.0,0.0,0.0,72.222,26.189,11.792,12.432,15.586,17.182,14.929,46.0,16.640923076923077,30.875,17.0,1.62,43.95829538461538,4.4579621615816585,0,0
Medium Ceramic Top Storage Jar,78033,682,11.32,0.0,74215.0,0.0,0.0,0.0,22.5,18.735,27.111,10.476,11.258,7.97,16.073,14.786,5718.762230769231,28.889,5719.0,0.42,8120.880136923077,3.180438368280114,0,1
Large Ceramic Top Storage Jar,3118,1022,11.74,0.0,0.0,0.0,0.0,0.0,15.359,9.667,12.423,13.795,8.59,8.093,7.34,12.353,6.74,38.0,7.0,1.53,17.3122,2.511437683210316,0,0
Travel Card Wallet Pantry,2011,45,10.68,0.0,0.0,9.333,7.636,9.421,6.955,13.688,9.708,7.905,13.5,11.13,7.743,8.769,8.137538461538462,21.0,9.0,0.57,13.638396923076922,5.0,0,0
Travel Card Wallet Skulls,2145,553,10.68,0.0,0.0,8.692,10.0,12.143,5.562,19.533,8.529,9.812,18.316,11.208,10.667,6.0,9.266307692307691,18.636,10.0,2.25,30.849192307692302,3.654554001060257,0,0
Travel Card Wallet Transport,3171,712,10.68,0.0,0.0,10.571,11.795,11.931,8.625,12.625,11.0,8.963,16.136,14.767,8.684,7.769,9.451230769230769,25.909,10.0,1.98,28.713436923076923,4.150966626566522,0,0
Travel Card Wallet Keep Calm,12490,899,10.68,0.0,0.0,12.824,13.423,28.267,21.348,15.634,40.535,26.25,24.533,25.949,21.278,13.478,18.73223076923077,50.636,19.0,2.52,66.20522153846154,4.526798909889781,0,0
Travel Card Wallet Retrospot,2197,20,10.68,0.0,0.0,9.571,9.208,23.824,6.84,9.412,8.167,6.667,10.769,9.783,7.462,10.167,8.605384615384615,20.636,9.0,1.35,20.61726923076923,5.0,1,1
Hot Water Bottle I Am So Poorly,3522,10,15.32,5.468,3.188,2.826,2.125,3.4,3.562,2.812,2.917,16.783,8.247,3.865,6.367,5.4,5.150769230769232,52.231,6.0,0.69,9.55403076923077,4.361357924642508,0,0
Alarm Clock Bakelike Ivory,2901,22,14.09,3.738,4.185,5.679,3.029,3.609,3.625,4.771,3.341,10.024,4.156,7.687,4.921,3.862,4.817461538461538,45.692,5.0,0.99,9.769286923076924,3.805202437075903,0,0
Alarm Clock Bakelike Pink,5364,9,14.09,4.385,3.909,5.721,3.548,14.229,3.812,5.471,3.592,13.852,4.957,11.245,4.613,6.086,6.570769230769231,62.308,7.0,1.2,14.884923076923076,3.676455618713143,0,1
Alarm Clock Bakelike Red,7815,668,14.09,5.0,4.734,5.119,4.29,11.986,3.849,5.846,3.681,10.535,6.306,10.527,5.807,17.377,7.312076923076922,85.154,8.0,0.3,10.193623076923076,4.162643158758062,0,0
Alarm Clock Bakelike Green,6439,11,14.09,4.473,3.75,4.033,4.609,14.344,3.0,12.674,4.854,7.554,5.821,8.409,5.676,6.754,6.611615384615386,78.769,7.0,0.96,13.34715076923077,3.2906352303593875,0,1
Set Of 3 Cake Tins Pantry Design,7493,78,14.61,4.031,7.09,4.497,4.29,1.971,1.385,8.124,4.688,5.417,8.575,4.019,3.491,3.766,4.71876923076923,113.308,5.0,2.31,15.900356923076922,4.22887572314901,1,0
Grow A Flytrap Or Sunflower In Tin,16244,356,11.34,327.125,30.4,253.0,33.818,81.531,24.303,39.5,54.421,21.0,19.857,27.2,21.377,28.556,74.00676923076924,23.615,75.0,0.69,126.06467076923076,4.147980311541986,0,0
French Wc Sign Blue Metal,1883,914,11.53,7.444,7.381,5.125,8.789,6.455,5.125,5.095,5.92,7.194,5.567,4.885,4.4,11.8,6.552307692307693,23.538,7.0,1.02,13.683353846153846,5.0,0,0
Recipe Box Retrospot,2901,1043,12.86,4.982,3.75,4.814,5.58,4.5,0.0,3.973,11.786,5.176,7.643,7.216,5.328,7.84,5.583692307692308,41.583,6.0,1.71,15.548113846153846,4.116398861409079,0,0
Recipe Box Pantry Yellow Design,8297,321,12.86,4.913,4.481,5.787,6.091,5.253,6.688,8.418,10.822,6.233,12.451,4.154,8.013,11.619,7.301769230769231,90.769,8.0,1.47,18.73360076923077,2.27551183895115,0,0
Circus Parade Lunch Box,3684,37,12.25,3.333,4.545,10.067,13.273,7.3,7.371,12.571,6.481,10.559,8.865,13.688,10.071,4.5,8.663384615384615,31.615,9.0,1.68,23.554486153846156,5.0,1,0
Picnic Boxes Set Of 3 Retrospot,966,3,15.32,1.8,11.348,19.0,3.824,3.545,4.263,5.235,2.645,2.857,3.3,2.083,3.4,5.2,5.269230769230769,15.615,6.0,0.6,9.16153846153846,5.0,0,1
Gumball Coat Rack,7962,76,12.86,11.571,13.878,5.719,9.914,11.043,10.323,15.812,10.44,8.86,13.75,12.812,9.636,10.406,11.089538461538464,56.0,12.0,0.39,16.32492,5.0,0,0
Popcorn Holder,56921,114,10.99,21.279,23.883,34.218,30.194,24.763,63.426,20.369,18.9,64.595,31.634,38.63,47.616,86.611,38.93215384615384,113.538,39.0,0.6,62.3592923076923,3.042680013015516,0,0
Hot Water Bottle Tea And Sympathy,5796,758,14.61,12.821,1.0,1.333,1.4,0.0,0.0,0.0,0.0,4.824,9.56,6.558,8.809,9.5,4.292692307692308,72.889,5.0,2.01,13.62831153846154,3.978173218743709,0,0
Chocolate Hot Water Bottle,6074,43,15.32,7.942,4.39,3.84,2.789,3.571,5.353,6.938,7.259,7.906,6.306,6.388,7.758,8.333,6.059461538461538,68.385,7.0,2.58,22.63341076923077,4.874401241494319,0,0
Chocolate This Way Metal Sign,3773,985,12.4,6.854,6.267,7.516,5.091,10.321,6.023,11.562,5.929,7.9,6.143,13.4,5.636,11.5,8.010923076923078,36.769,9.0,1.53,21.25671230769231,4.73639137228446,0,0
Gin And Tonic Mug,2981,37,11.74,4.854,5.95,5.056,5.111,8.263,7.429,12.333,4.905,5.471,48.421,3.25,15.372,5.125,10.11846153846154,23.385,11.0,0.78,18.8924,4.506937707359552,1,0
Glamorous Mug,1296,30,11.53,4.071,2.286,4.556,4.667,8.8,6.556,15.5,2.875,6.25,7.65,10.062,17.103,6.1,7.421230769230769,11.462,8.0,2.31,25.14304307692308,2.000389281499446,1,0
Save The Planet Mug,5454,48,11.74,6.46,7.308,13.087,6.542,9.794,12.731,32.407,15.619,54.655,25.25,7.75,13.727,8.25,16.42923076923077,28.769,17.0,0.21,20.45013846153846,2.4875605424356864,0,0
Retrospot Large Milk Jug,1361,1052,15.32,3.586,2.639,3.528,4.607,2.71,3.044,2.767,9.808,4.846,3.2,4.438,3.259,2.727,3.935307692307693,27.769,4.0,0.27,5.062533076923077,5.0,0,0
Fawn Blue Hot Water Bottle,3314,29,14.09,7.008,4.621,5.05,5.308,4.111,12.857,5.25,3.917,21.333,8.13,6.639,4.821,4.524,7.197615384615384,39.462,8.0,0.15,9.079642307692309,5.0,0,0
White Skull Hot Water Bottle,3919,46,14.61,10.43,4.654,2.182,2.429,2.4,3.5,4.5,2.154,37.8,4.661,5.263,7.529,7.178,7.283076923076923,39.846,8.0,2.91,29.193753846153843,4.093348708563605,1,0
Door Hanger Mum + Dads Room,205,628,11.74,1.0,2.333,5.25,3.0,1.0,5.25,1.2,3.6,5.556,1.2,1.5,2.643,7.0,3.1178461538461537,5.154,4.0,2.73,12.51172,5.0,1,0
Set 3 Retrospot Tea/Coffee/Sugar,2133,13,14.61,3.108,4.85,6.59,5.8,6.781,2.625,4.865,4.528,5.333,5.611,3.077,4.667,3.143,4.690615384615384,34.538,5.0,2.94,18.790409230769228,3.176772233856702,1,1
Please One Person Metal Sign,12305,203,12.15,11.295,8.184,10.093,12.874,11.809,13.694,6.5,192.0,1.0,21.492,15.921,19.019,13.167,25.92676923076923,67.308,26.0,0.18,30.666818461538465,3.4055739465313195,0,0
Gin And Tonic Diet Metal Sign,12225,4,12.38,5.348,45.472,6.019,9.0,85.075,8.189,7.982,13.311,10.523,12.823,12.19,13.224,9.586,18.36476923076923,63.462,19.0,0.03,19.55094307692308,3.097719678136851,0,1
You're Confusing Me Metal Sign,4424,40,11.74,4.143,6.2,6.231,9.0,13.167,10.854,15.655,7.844,26.333,19.921,5.868,7.067,10.16,10.957153846153846,36.077,11.0,2.16,34.66745230769231,3.350080454311354,1,0
Toxic Area Door Hanger,1465,14,10.65,1.333,2.25,3.571,5.333,1.0,10.5,3.5,16.545,14.667,10.867,19.526,4.673,5.333,7.622923076923077,12.692,8.0,1.5,19.434384615384616,4.922696009522619,0,1
Moody Boy Door Hanger,1127,216,10.65,3.167,2.0,2.25,2.0,3.5,3.6,2.667,16.818,17.846,8.5,23.417,5.194,6.4,7.4891538461538465,9.615,8.0,1.02,15.638936923076924,3.337647626936556,0,0
Moody Girl Door Hanger,1474,523,10.65,2.625,1.0,3.111,2.2,4.0,5.333,3.571,11.474,15.75,9.773,14.875,5.068,4.111,6.376230769230769,13.846,7.0,2.19,20.963945384615386,5.0,0,0
Red Retrospot Oven Glove,4035,119,11.53,7.196,5.92,13.452,11.556,20.231,8.265,14.571,11.889,8.088,5.286,10.868,5.645,5.727,9.89953846153846,35.615,10.0,2.64,36.13478153846153,4.660070606347438,0,0
Large Chinese Style Scissor,1273,402,11.12,5.6,13.333,64.6,35.0,26.6,20.333,22.0,12.0,9.286,12.5,10.0,17.5,16.0,20.365538461538456,5.0,21.0,0.24,25.88772923076923,5.0,0,0
Small Chinese Style Scissor,13328,678,10.68,171.5,10.0,750.5,530.0,7.667,346.375,16.0,20.0,295.0,212.2,13.333,360.6,35.0,212.93653846153845,4.154,213.0,1.17,462.13575,4.689940582800073,0,0
Small Folding Scissor(Pointed Edge),2892,5,10.37,7.0,0.0,20.0,72.0,132.0,0.0,12.25,14.222,57.25,24.364,28.5,58.812,84.0,39.26138461538461,6.364,40.0,2.16,124.80459076923076,5.0,0,1
Hand Over The Chocolate Sign,8272,11,12.15,11.8,5.098,10.431,8.479,9.6,10.737,11.712,10.113,23.4,12.324,17.104,11.714,30.828,13.333846153846157,52.769,14.0,2.16,42.801107692307696,3.332000000461453,1,1
Small Marshmallows Pink Bowl,3764,21,10.68,11.1,6.548,4.286,5.211,16.0,9.848,8.549,7.618,5.857,6.788,7.37,8.232,6.81,8.016692307692308,35.692,9.0,1.29,19.34153307692308,5.0,0,0
Small Dolly Mix Design Orange Bowl,5085,228,10.68,9.133,7.344,4.286,5.806,18.064,11.689,9.054,8.535,10.842,9.5,8.4,7.766,6.217,8.972,42.0,9.0,1.11,18.95892,4.340938885591437,0,0
Set Of 4 English Rose Coasters,1254,38,11.53,2.938,2.939,3.19,4.458,3.833,7.476,5.324,3.682,4.846,4.571,3.6,4.333,7.625,4.52423076923077,22.077,5.0,2.88,18.029784615384617,5.0,0,0
N0 Singing Metal Sign,6014,935,12.15,6.705,6.289,6.769,11.795,9.333,7.131,6.833,12.811,10.647,15.606,2.0,41.4,14.071,11.645384615384614,42.615,12.0,2.64,42.743815384615374,2.760435946623816,0,0
Toilet Metal Sign,3883,19,10.81,5.727,15.344,14.714,12.222,8.6,7.361,5.8,8.467,14.516,7.526,7.08,6.438,11.182,9.613615384615384,31.615,10.0,1.44,23.843606153846157,4.380583206608363,0,1
Feng Shui Pillar Candle,3317,116,10.44,29.429,13.2,345.0,25.8,33.0,21.333,21.75,60.0,36.5,40.2,20.857,29.818,144.0,63.14515384615385,5.077,64.0,2.97,251.5411069230769,4.345238716781665,0,1
Tea Time Oven Glove,2183,23,11.53,8.825,7.394,5.04,9.556,6.267,5.731,4.864,6.444,5.867,4.118,6.323,9.222,4.706,6.489,24.769,7.0,0.06,7.38934,3.5807635350205587,0,0
English Rose Spirit Level,978,672,11.06,8.143,5.5,9.0,1.0,1.0,20.667,2.0,4.75,19.278,8.1,4.059,4.846,9.182,7.501923076923076,9.154,8.0,2.64,27.80507692307692,4.513118829747264,0,0
Vintage Doily Travel Sewing Kit,3970,1017,12.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.079,9.542,9.752,7.724,2.6228461538461536,108.25,3.0,1.7999999999999998,7.721123076923076,5.0,1,0
Blue Retro Kitchen Wall Clock,36,37,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.909,2.143,0.3116923076923076,9.0,1.0,2.52,1.7854646153846152,3.503847641036879,0,0
Red Retro Kitchen Wall Clock,47,46,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.824,2.667,0.3454615384615384,11.5,1.0,1.2,1.414553846153846,5.0,0,0
Ivory Retro Kitchen Wall Clock,77,362,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.389,2.25,0.3568461538461538,17.0,1.0,2.64,1.9420738461538456,3.072576943853492,0,0
Hot Stuff Hot Water Bottle,631,452,11.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,7.64,4.588,7.69,7.053,2.343923076923077,18.4,3.0,1.71,7.008108461538462,5.0,1,0
Set Of 12 Fairy Cake Baking Cases,8486,402,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.174,13.222,17.168,9.057,13.484,14.351,7.0350769230769234,94.5,8.0,1.98,21.92945230769231,4.9846003184367085,0,0
Set Of Tea Coffee Sugar Tins Pantry,4805,526,15.32,0.0,0.0,0.0,0.0,0.0,0.0,8.562,5.413,8.733,24.105,4.986,6.712,3.75,4.789307692307692,72.714,5.0,1.83,13.764433076923076,5.0,1,0
Set Of 4 Knick Knack Tins Doily,4186,967,14.5,0.0,0.0,0.0,0.0,0.0,0.0,9.228,7.662,9.564,6.505,7.435,5.718,5.667,3.983000000000001,81.0,4.0,2.4,13.559200000000002,4.872060519093767,1,0
Doormat 3 Smiley Cats,1176,605,17.51,2.415,2.087,3.682,2.609,3.3,4.667,2.286,4.733,2.737,48.545,2.688,2.267,3.0,6.539692307692308,18.308,7.0,1.2,14.847630769230769,4.590613177729362,1,0
Hanging Metal Heart Lantern,3427,40,11.06,7.087,6.815,7.435,7.027,9.086,13.0,9.429,7.444,12.556,9.407,8.607,10.969,14.812,9.513384615384616,28.538,10.0,0.3,12.854015384615384,4.992932940485918,1,0
12 Pencils Tall Tube Skulls,2156,23,11.12,6.217,5.571,8.2,11.4,13.8,6.833,8.333,5.529,8.789,8.065,9.138,8.321,6.438,8.202615384615385,20.462,9.0,2.64,30.654904615384613,4.063552536645829,0,1
12 Pencils Tall Tube Woodland,1976,1,11.12,4.28,6.857,6.0,9.0,12.083,8.966,4.231,7.923,6.76,9.8,6.65,8.404,10.2,7.781076923076924,19.692,8.0,1.41,18.971318461538463,2.5821660944416784,0,1
Gingham Recipe Book Box,466,42,15.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.098,4.105,2.375,2.9,1.0367692307692309,34.25,2.0,1.7999999999999998,3.8661846153846153,4.647399346466792,1,0
Egg Frying Pan Red,431,7,12.15,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.909,3.0,4.176,3.188,3.069,6.333,2.2057692307692305,15.714,3.0,1.47,6.242480769230768,3.4444966654002456,0,0
Single Heart Zinc T-Light Holder,6266,470,11.53,8.273,7.739,10.935,14.822,15.226,14.564,18.244,8.286,13.194,11.839,14.848,9.302,10.235,12.115923076923078,39.231,13.0,1.29,28.62954076923077,3.0983380846205977,0,0
Natural Slate Heart Chalkboard,9172,202,13.27,6.598,6.373,5.511,7.553,7.554,7.7,5.93,7.74,6.56,6.969,6.919,5.604,20.622,7.817923076923076,98.462,8.0,1.26,17.850583076923076,4.83629316843861,0,0
Heart Of Wicker Small,17971,720,11.94,12.5,20.145,10.36,20.34,3.143,25.734,12.366,11.699,10.458,17.636,9.669,17.664,4.778,13.576307692307692,95.154,14.0,0.96,27.033255384615384,3.9208915251003065,0,0
Set Of 20 Vintage Christmas Napkins,8987,24,11.12,8.92,4.364,1.0,1.0,6.5,0.0,2.571,36.286,41.895,24.977,11.866,12.203,11.983,12.58192307692308,53.333,13.0,0.18,15.264746153846154,5.0,1,0
Antique Silver Tea Glass Engraved,8706,49,11.53,13.711,20.7,30.0,28.957,13.0,34.304,30.45,17.688,22.0,37.444,13.184,23.904,22.074,23.647384615384617,28.538,24.0,2.73,88.55736,3.41105923124093,0,1
Playing Cards Keep Calm & Carry On,3646,656,11.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.14,10.255,10.226,6.056,3.205923076923077,86.75,4.0,0.6,5.923553846153846,3.729171023486174,0,0
Ice Cream Bubbles,2688,645,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,27.825,31.259,18.538,26.667,9.699153846153846,20.8,10.0,0.63,16.110466923076924,5.0,1,0
Wall Art Only One Person,1062,43,15.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.222,10.281,20.727,3.2484615384615387,29.333,4.0,0.39,5.2669,4.479842660997609,1,0
Childrens Cutlery Polkadot Blue,4068,515,14.5,6.0,15.884,7.833,4.25,8.591,11.121,4.429,21.067,7.6,7.618,6.87,13.936,9.462,9.589307692307694,31.077,10.0,2.64,35.31577230769231,2.7226719590938604,0,0
Childrens Cutlery Polkadot Pink,5424,114,14.5,6.476,18.043,11.0,5.575,7.133,4.744,7.186,18.927,7.909,9.959,8.579,11.471,5.917,9.455307692307692,42.769,10.0,2.37,32.40907923076923,4.457760882860111,0,0
World War 2 Gliders Asstd Designs,55047,1,10.55,129.875,78.526,175.9,129.6,240.349,130.543,55.842,73.269,68.515,65.093,138.644,53.635,59.435,107.63276923076924,41.692,108.0,0.39,149.97678000000002,5.0,0,1
Feltcraft Princess Charlotte Doll,2375,296,14.09,4.019,2.696,5.227,9.533,3.375,4.346,5.421,5.818,4.882,5.333,5.817,4.525,4.778,5.059230769230769,36.077,6.0,0.8999999999999999,10.55330769230769,3.721422555378533,0,0
Feltcraft Girl Nicole Kit,737,25,15.32,0.0,0.0,0.0,3.625,2.941,5.389,2.643,3.643,3.467,3.0,4.917,3.946,2.733,2.792615384615384,20.0,3.0,1.05,5.932246153846153,4.798057696452909,0,0
Feltcraft Girl Amelie Kit,1114,45,15.32,0.0,0.0,0.0,4.368,3.333,3.393,3.056,2.556,3.714,5.5,4.439,3.209,2.941,2.808384615384616,30.4,3.0,1.65,7.633834615384616,3.350613084844096,0,0
Poppy's Playhouse Bathroom,963,7,12.4,2.533,3.091,6.05,6.08,3.25,7.944,4.5,3.2,3.769,4.071,4.36,2.281,2.1,4.094538461538461,17.923,5.0,1.98,13.107186153846152,4.063216725030571,0,1
Ribbon Reel Lace Design,1381,45,12.4,3.125,8.308,10.714,4.44,2.4,3.0,0.0,0.0,10.13,6.348,4.5,7.552,10.0,5.424384615384615,18.273,6.0,1.53,14.29930846153846,5.0,0,0
Antique Silver T-Light Glass,19246,33,11.53,20.838,18.511,22.773,18.444,16.109,25.507,22.672,26.843,32.24,21.338,15.935,19.536,14.75,21.192,72.769,22.0,1.14,46.15888,4.419231667754974,0,1
T-Light Glass Fluted Antique,8027,1,11.53,15.653,26.625,17.154,20.579,0.0,42.667,26.467,37.15,25.8,33.893,15.526,18.081,22.619,23.24723076923077,30.083,24.0,1.77,65.14759846153846,5.0,0,1
Aged Glass Silver T-Light Holder,10583,12,10.92,24.537,21.048,46.529,24.727,27.947,30.259,37.13,27.5,22.524,43.973,25.148,19.983,38.25,29.96576923076924,27.308,30.0,0.18,35.393838461538465,4.625302404227861,0,1
Picture Frame Wood Triple Portrait,1068,378,17.17,3.737,4.24,3.471,3.286,3.533,3.158,3.9,3.952,3.583,11.588,2.5,2.897,5.5,4.257307692307692,20.769,5.0,1.65,12.024557692307692,5.0,0,0
Set 6 Paper Table Lantern Hearts,2333,20,14.09,0.0,0.0,0.0,0.0,0.0,10.225,8.0,9.1,6.957,10.444,5.8,6.294,7.174,4.922615384615384,39.125,5.0,1.65,13.122315384615383,2.635086630780731,0,0
Paper Bunting White Lace,4089,121,13.27,3.056,9.297,10.86,10.46,15.035,15.289,0.0,0.0,0.0,0.0,0.0,14.575,11.5,6.928615384615385,42.75,7.0,2.97,27.57798769230769,3.982806649939035,0,0
Vintage Zinc Watering Can Small,18,37,15.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.4,2.5,0.4538461538461539,2.667,1.0,0.09,1.0408461538461538,3.115466206707949,0,0
Jumbo Shopper Vintage Red Paisley,12614,434,12.38,9.895,8.983,9.086,11.213,7.613,11.913,8.638,7.33,13.574,15.75,9.899,11.432,12.425,10.59623076923077,92.462,11.0,1.56,27.53012,3.183750825541751,1,0
Red Woolly Hottie White Heart,4813,88,14.61,14.031,4.889,3.714,2.571,1.25,1.333,1.667,2.0,3.375,9.212,9.152,12.486,10.308,5.845230769230769,34.538,6.0,1.53,14.943203076923076,3.1928163061939605,0,0
Hand Warmer Union Jack,4867,9,12.4,9.68,0.0,0.0,1.833,0.0,1.5,1.0,1.0,28.167,10.074,12.912,6.964,8.706,6.295076923076923,51.5,7.0,0.6,10.777046153846154,4.367725822051221,0,1
Hot Water Bottle Keep Calm,5889,1042,15.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.529,6.507,7.106,7.945,7.312,2.799923076923077,162.6,3.0,1.7999999999999998,8.039861538461537,4.426300934821867,0,0
Knitted Union Flag Hot Water Bottle,3323,44,14.61,9.433,6.2,5.471,2.8,2.2,1.917,2.083,1.6,6.733,6.896,4.808,8.034,9.333,5.192923076923076,36.385,6.0,2.52,19.08616615384615,4.627455924995116,1,0
Rotating Silver Angels T-Light Hldr,9485,28,12.86,146.412,2.812,1.55,1.571,2.0,30.0,1.167,32.0,9.667,16.978,24.537,20.716,17.86,23.63615384615385,36.538,24.0,0.36,32.50901538461538,3.0769394398554484,0,1
