ProductName,December_2018,January,February,March,April,May,June,July,August,September,October,November,December_2019
4 Blue Dinner Candles Silver Flock,5.667,2.0,3.5,1.0,4.75,1.75,2.0,2.5,2.0,3.667,1.0,1.667,0.0
4 Burgundy Wine Dinner Candles,8.667,1.0,0.0,0.0,2.5,1.0,0.0,0.0,4.667,1.0,2.0,3.5,0.0
4 Gold Flock Christmas Balls,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 Ivory Dinner Candles Silver Flock,4.333,2.571,3.286,1.4,1.8,5.0,9.5,1.833,2.5,4.571,4.333,2.406,6.294
4 Lavender Botanical Dinner Candles,9.857,8.647,1.0,1.0,12.0,2.667,1.8,1.5,6.0,2.5,5.478,7.629,2.4
4 Lily Botanical Dinner Candles,7.0,5.667,2.0,3.0,2.667,2.5,2.167,3.5,2.5,2.333,5.217,6.64,0.0
4 Pear Botanical Dinner Candles,4.333,7.267,3.5,3.0,0.0,2.0,3.0,1.333,3.0,1.0,6.81,6.26,3.867
4 Pink Dinner Candle Silver Flock,1.0,3.667,4.0,0.0,2.0,1.0,7.0,1.0,0.0,3.5,1.333,2.5,9.8
4 Pink Flock Christmas Balls,2.571,1.333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.8,0.0
4 Purple Flock Dinner Candles,5.333,1.0,1.0,0.0,2.0,1.5,2.0,1.5,1.0,3.0,1.0,3.357,9.8
4 Rose Pink Dinner Candles,12.0,3.286,2.333,3.75,17.0,1.0,2.0,1.0,8.333,5.667,1.25,1.333,2.333
4 Sky Blue Dinner Candles,4.0,1.714,2.231,3.0,1.0,2.25,1.5,3.333,1.0,3.6,2.5,1.0,2.2
4 Traditional Spinning Tops,5.872,17.75,6.864,29.68,25.118,17.71,8.382,7.65,8.259,5.907,7.469,6.78,6.464
4 Vanilla Botanical Candles,10.0,4.529,2.5,2.667,6.0,2.5,2.667,1.25,6.0,2.0,6.226,6.649,4.059
4 Wildflower Botanical Candles,4.2,5.889,2.75,2.75,1.0,2.0,3.286,1.8,1.0,0.0,5.19,4.08,0.0
5 Hook Hanger Magic Toadstool,8.692,31.6,9.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 Hook Hanger Red Magic Toadstool,7.5,28.944,30.188,12.933,11.0,175.857,5.923,3.143,2.0,6.667,2.0,9.0,0.0
5 Strand Glass Necklace Amber,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
5 Strand Glass Necklace Amethyst,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
5 Strand Glass Necklace Black,1.5,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0
5 Strand Glass Necklace Crystal,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.2,0.0,1.5,0.0
50'S Christmas Gift Bag Large,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.667,14.913,18.759,12.718,4.846
50'S Christmas Paper Gift Bag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,16.897,10.938,4.75
50cm Metal String With 7 Clips,1.0,12.0,2.5,39.5,2.0,12.0,2.0,0.0,12.0,2.0,1.25,2.667,0.0
6 Chocolate Love Heart T-Lights,6.062,3.083,3.133,3.846,7.0,4.333,5.0,3.0,12.75,2.375,8.727,15.909,14.556
6 Egg House Painted Wood,1.667,1.923,1.923,1.852,2.562,1.909,2.167,2.125,2.0,1.625,1.929,1.571,2.333
6 Gift Tags 50'S Christmas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.929,12.576,12.429,10.434,6.679
6 Gift Tags Vintage Christmas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.778,12.763,11.886,11.243,7.387
6 Ribbons Elegant Christmas,13.156,4.0,4.0,1.0,1.0,1.75,1.0,0.0,15.222,12.25,3.3,5.476,13.375
6 Ribbons Empire,3.762,2.375,7.333,7.25,8.444,1.833,4.0,4.429,5.929,3.697,4.517,3.477,13.577
6 Ribbons Rustic Charm,9.532,8.6,9.0,8.667,9.309,8.063,7.081,7.178,9.851,10.481,11.119,10.709,8.969
6 Ribbons Shimmering Pinks,18.389,12.707,3.0,4.417,4.0,3.0,1.0,1.0,3.818,2.85,3.0,2.724,8.857
6 Rocket Balloons,6.059,11.909,6.625,10.938,13.091,16.4,12.273,9.867,6.545,14.7,8.579,5.139,6.364
60 Cake Cases Dolly Girl Design,18.206,18.649,13.76,27.0,10.214,14.0,23.292,10.03,22.613,20.178,16.231,11.746,8.412
60 Cake Cases Vintage Christmas,16.244,5.5,1.0,24.0,1.0,1.0,1.2,39.548,36.31,36.743,29.659,21.353,13.691
60 Gold And Silver Fairy Cake Cases,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60 Teatime Fairy Cake Cases,22.352,18.381,14.46,23.736,27.129,17.443,13.754,22.895,24.119,32.078,24.6,15.135,5.48
6pc Wood Plate Set Disposable,0.0,0.0,0.0,0.0,0.0,0.0,6.6,28.154,4.429,2.556,1.0,1.667,0.0
72 Sweetheart Fairy Cake Cases,28.804,15.194,17.635,32.659,22.268,13.932,15.139,54.429,16.816,30.269,16.286,11.512,8.038
75 Black Petit Four Cases,4.0,3.25,2.0,0.0,1.0,0.0,4.75,0.0,3.0,0.0,0.0,0.0,0.0
75 Green Fairy Cake Cases,1.0,1.5,1.5,1.25,1.75,2.0,1.5,1.5,2.5,2.0,1.0,1.6,1.0
75 Green Petit Four Cases,6.0,1.5,1.2,9.667,7.375,5.0,1.25,1.5,6.2,5.375,4.833,11.6,5.167
A Pretty Thank You Card,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.769,9.8
A4 Wall Tidy Blue Office,5.333,1.0,0.0,0.0,26.0,1.0,48.0,1.0,2.0,0.0,5.0,1.0,0.0
A4 Wall Tidy Red Flowers,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0
Abc Treasure Book Box,0.0,0.0,0.0,6.2,5.774,20.944,4.111,4.789,13.6,11.0,6.111,15.351,3.444
Abstract Circle Journal,1.667,7.429,1.571,1.429,2.667,1.286,3.4,2.75,4.333,1.0,1.0,1.0,0.0
Abstract Circles Pocket Book,6.5,3.0,4.5,3.333,2.4,3.0,3.5,9.0,3.0,3.667,3.0,4.111,2.333
Abstract Circles Sketchbook,1.444,3.667,1.571,1.333,2.0,2.333,2.6,2.5,3.0,2.2,1.444,1.444,1.4
Acrylic Geometric Lamp,2.0,2.125,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.5,0.0
Acrylic Hanging Jewel Blue,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,21.667,11.222,6.571,0.0
Acrylic Hanging Jewel Pink,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,11.5,7.0,0.0
Acrylic Jewel Angel Pink,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0
Acrylic Jewel Icicle Blue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,6.0,0.0,1.0,0.0
Acrylic Jewel Icicle Pink,1.0,0.0,1.0,0.0,0.0,0.0,18.5,0.0,0.0,35.5,8.667,12.8,2.0
Acrylic Jewel Snowflake Pink,0.0,0.0,1.0,0.0,0.0,48.0,0.0,0.0,0.0,37.667,0.0,0.0,0.0
Adult Apron Apple Delight,4.0,1.333,3.0,2.222,2.556,8.222,3.75,3.571,4.4,1.667,3.667,2.9,50.0
Advent Calendar Gingham Sack,4.474,0.0,1.0,0.0,0.0,3.0,3.5,3.273,3.7,6.5,5.162,5.833,7.417
Afghan Slipper Sock Pair,48.111,13.333,10.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,8.333,2.0,2.0
Aged Glass Silver T-Light Holder,24.537,21.048,46.529,24.727,27.947,30.259,37.13,27.5,22.524,43.973,25.148,19.983,38.25
Airline Bag Vintage Jet Set Brown,2.0,1.882,3.75,1.667,2.143,1.75,1.545,1.368,2.286,3.353,2.769,1.714,1.333
Airline Bag Vintage Jet Set Red,2.111,1.6,2.615,3.091,2.5,2.167,1.941,1.8,3.143,3.529,3.32,2.5,1.444
Airline Bag Vintage Jet Set White,1.353,1.474,2.0,2.375,2.571,2.333,2.455,1.357,2.0,3.111,2.714,2.0,2.0
Airline Bag Vintage Tokyo 78,2.083,2.5,4.357,3.55,2.158,5.857,2.2,2.056,2.333,2.306,3.579,2.618,2.842
Airline Bag Vintage World Champion,1.25,1.5,2.0,3.273,1.875,1.0,1.833,1.333,1.556,2.062,2.818,1.885,1.625
Airline Lounge Metal Sign,2.409,2.571,2.176,2.25,3.062,2.0,2.333,2.438,2.607,2.52,1.808,2.571,3.353
Alarm Clock Bakelike Chocolate,2.739,3.538,7.455,3.429,6.526,3.2,4.931,4.379,4.065,4.85,6.41,3.662,4.269
Alarm Clock Bakelike Green,4.473,3.75,4.033,4.609,14.344,3.0,12.674,4.854,7.554,5.821,8.409,5.676,6.754
Alarm Clock Bakelike Ivory,3.738,4.185,5.679,3.029,3.609,3.625,4.771,3.341,10.024,4.156,7.687,4.921,3.862
Alarm Clock Bakelike Orange,3.262,3.806,3.48,3.595,12.175,4.415,4.882,4.238,5.712,4.6,5.704,2.667,2.0
Alarm Clock Bakelike Pink,4.385,3.909,5.721,3.548,14.229,3.812,5.471,3.592,13.852,4.957,11.245,4.613,6.086
Alarm Clock Bakelike Red,5.0,4.734,5.119,4.29,11.986,3.849,5.846,3.681,10.535,6.306,10.527,5.807,17.377
Alphabet Hearts Sticker Sheet,4.778,7.375,2.833,20.25,5.5,20.4,5.8,3.0,1.0,1.0,6.5,2.333,1.0
Alphabet Stencil Craft,4.526,4.8,34.6,7.538,28.308,2.222,5.444,5.583,66.762,7.438,6.643,13.585,5.364
Aluminium Stamped Heart,0.0,0.0,0.0,0.0,9.75,4.683,3.8,5.538,5.556,9.067,8.077,4.818,5.667
Amber 3 Bead Drop Earrings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
Amber Bertie Glass Bead Bag Charm,0.0,1.111,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amber Bertie Mobile Phone Charm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Amber Chunky Bead Bracelet W Strap,5.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Amber Chunky Glass+Bead Necklace,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Amber Crystal Drop Earrings,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Amber Diamante Expandable Ring,1.667,1.5,0.0,1.0,4.333,0.0,0.0,0.0,0.0,6.0,2.667,1.0,0.0
Amber Drop Earrings W Long Beads,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.5,4.75,3.5,1.0,1.25
Amber Fine Bead Necklace W Tassel,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5,1.0
Amber Glass Tassle Bag Charm,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,4.0,0.0,0.0
Amber Glass/Shell/Pearl Necklace,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
Amber Glass/Silver Bracelet,2.5,1.0,1.0,0.0,1.5,0.0,0.0,1.0,0.0,1.5,1.333,2.5,1.0
Amethyst 3 Bead Drop Earrings,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Amethyst Chunky Bead Bracelet W Str,3.0,1.5,1.0,1.0,1.0,0.0,0.0,0.0,1.5,2.333,0.0,1.25,1.333
Amethyst Diamante Expandable Ring,1.75,1.0,0.0,0.0,2.667,0.0,0.0,0.0,1.0,6.0,3.5,1.0,1.0
Amethyst Drop Earrings W Long Beads,1.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,1.5,1.0,1.0
Amethyst Glass/Shell/Pearl Necklace,1.0,1.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
Amethyst Hoop Earring Floral Leaf,1.333,1.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
Angel Decoration 3 Buttons,33.03,3.333,4.667,0.0,2.0,0.0,27.25,6.0,40.5,22.556,23.565,17.532,13.722
Angel Decoration Painted Zinc,9.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,288.0,6.286,8.0,8.226,4.0
Angel Decoration Stars On Dress,13.083,1.0,0.0,0.0,0.0,0.0,3.333,2.0,41.714,24.25,22.136,20.366,14.048
Angel Decoration With Lace Padded,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.75,0.0,0.0,0.0,0.0
Animal Stickers,23.5,47.75,32.0,49.0,65.0,32.0,27.0,47.25,38.4,24.0,29.75,35.9,25.0
Ant Copper Lime Boudicca Bracelet,1.5,1.222,1.0,0.0,0.0,1.0,1.0,1.375,1.0,4.5,2.2,1.909,1.75
Ant Copper Pink Boudicca Bracelet,1.5,1.167,1.0,1.0,0.0,2.0,0.0,2.333,0.0,2.667,5.0,1.25,2.0
Ant Copper Red Boudicca Bracelet,1.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.5
Ant Copper Turq Boudicca Bracelet,2.0,1.333,1.0,0.0,1.0,0.0,2.0,1.6,0.0,3.5,3.0,2.333,2.0
Ant Silver Fuschia Boudicca Ring,2.0,0.0,2.0,3.0,0.0,1.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Ant Silver Lime Green Boudicca Ring,1.5,0.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,2.0,6.0,0.0
Ant Silver Purple Boudicca Ring,1.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0
Ant Silver Turquoise Boudicca Ring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
Ant White Wire Heart Spiral,4.0,3.0,2.571,4.818,2.0,6.571,3.667,1.0,4.125,1.625,1.6,1.444,2.833
Antique All Glass Candlestick,6.077,4.474,6.455,4.583,4.4,8.182,12.0,3.6,8.455,5.917,4.045,5.097,6.667
Antique Cream Cutlery Cupboard,1.0,1.684,0.0,1.0,0.0,1.0,1.0,1.0,1.2,0.0,1.0,1.0,1.0
Antique Cream Cutlery Shelf,1.0,1.0,4.0,2.0,0.0,1.667,1.333,2.0,1.333,0.0,1.333,1.0,0.0
Antique Glass Dressing Table Pot,5.5,5.0,6.375,4.312,5.857,5.0,3.941,9.308,7.588,7.5,8.562,4.514,10.368
Antique Glass Heart Decoration,10.148,0.0,4.667,4.0,1.333,0.0,12.0,0.0,3.333,0.0,0.0,0.0,0.0
Antique Glass Pedestal Bowl,3.688,4.333,3.571,3.706,3.381,3.412,3.857,7.0,6.538,3.333,7.0,3.737,5.222
Antique Glass Place Setting,24.0,0.0,0.0,18.0,0.0,16.0,0.0,12.0,0.0,0.0,0.0,10.0,0.0
Antique Heart Shelf Unit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.682,1.816,18.0
Antique Ivory Wire Bowl Small,0.0,0.0,0.0,0.0,0.0,5.778,4.5,1.0,6.0,6.0,3.0,4.5,0.0
Antique Lily Fairy Lights,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antique Mid Blue Flower Earrings,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0
Antique Olive Green Flower Earrings,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0
Antique Opal White Flower Earrings,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Antique Raspberry Flower Earrings,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
Antique Silver Bauble Lamp,0.0,0.0,0.0,0.0,0.0,2.667,0.0,2.0,3.25,9.231,3.12,3.771,4.111
Antique Silver Book Mark With Beads,1.7,1.75,1.0,1.0,0.0,2.0,7.75,8.0,0.0,0.0,0.0,0.0,0.0
Antique Silver T-Light Glass,20.838,18.511,22.773,18.444,16.109,25.507,22.672,26.843,32.24,21.338,15.935,19.536,14.75
Antique Silver Tea Glass Engraved,13.711,20.7,30.0,28.957,13.0,34.304,30.45,17.688,22.0,37.444,13.184,23.904,22.074
Antique Tall Swirlglass Trinket Pot,4.862,4.267,3.636,13.25,3.667,2.636,2.182,4.455,2.5,3.857,2.8,3.138,2.636
Apothecary Measuring Jar,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.5,1.75,2.286,3.333,2.75,3.0
Apple Bath Sponge,7.522,4.368,1.0,3.0,8.3,7.583,5.133,2.125,8.9,4.632,3.833,6.707,4.846
Apron Modern Vintage Cotton,4.333,1.682,2.0,4.826,9.5,7.136,1.5,0.0,0.0,0.0,0.0,0.0,0.0
Aqua Bertie Glass Bead Bag Charm,1.0,2.625,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
Area Patrolled Metal Sign,6.125,7.545,7.261,7.349,15.613,7.132,10.655,11.346,11.639,12.455,10.39,10.582,8.28
Army Camo Bookcover Tape,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
Art Lights Funk Monkey,6.0,3.0,6.0,5.5,5.0,0.0,1.5,4.2,1.0,8.625,6.375,8.625,7.5
Ass Col Large Sand Frog P'weight,4.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ass Col Small Sand Gecko P'weight,2.4,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ass Colour Glowing Tiaras,7.0,2.0,0.0,10.0,0.0,10.0,7.333,10.0,2.0,34.5,6.0,5.0,5.0
Ass Des Phone Sponge Craft Sticker,23.125,90.0,0.0,0.0,1.0,0.0,0.0,60.0,0.0,0.0,3.5,0.0,35.5
Ass Floral Print Multi Screwdriver,30.0,21.8,21.333,19.25,4.667,49.333,6.143,15.941,19.889,18.8,15.207,9.775,0.0
Ass Floral Print Spirit Level,1.0,1.5,1.0,1.0,1.0,1.0,1.667,1.25,1.0,1.8,5.375,3.833,1.0
Assorted Bottle Top Magnets,24.211,10.941,9.75,22.9,19.25,13.077,8.6,14.667,21.8,10.111,17.846,11.4,29.647
Assorted Cakes Fridge Magnets,12.0,9.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,1.0,0.0
Assorted Cheese Fridge Magnets,4.333,15.0,28.0,7.5,6.0,0.0,6.0,12.0,30.0,0.0,0.0,0.0,0.0
