TransactionNo,ProductNo,ProductName,Price,Quantity
553476,22485,Set Of 2 Wooden Market Crates,23.32,2
553210,22485,Set Of 2 Wooden Market Crates,23.32,2
553390,22485,Set Of 2 Wooden Market Crates,23.32,1
553088,22485,Set Of 2 Wooden Market Crates,23.32,2
553166,22485,Set Of 2 Wooden Market Crates,23.32,4
552869,22485,Set Of 2 Wooden Market Crates,23.32,2
553035,22485,Set Of 2 Wooden Market Crates,23.32,1
552828,22485,Set Of 2 Wooden Market Crates,23.32,2
552672,22485,Set Of 2 Wooden Market Crates,35.83,1
552695,22485,Set Of 2 Wooden Market Crates,23.32,2
552703,22485,Set Of 2 Wooden Market Crates,23.32,1
552472,22485,Set Of 2 Wooden Market Crates,23.32,2
552307,22485,Set Of 2 Wooden Market Crates,23.32,1
552167,22485,Set Of 2 Wooden Market Crates,23.32,2
552000,22485,Set Of 2 Wooden Market Crates,35.83,1
551983,22485,Set Of 2 Wooden Market Crates,23.32,2
551599,22485,Set Of 2 Wooden Market Crates,23.32,2
551713,22485,Set Of 2 Wooden Market Crates,23.32,2
551533,22485,Set Of 2 Wooden Market Crates,23.32,1
551414,22485,Set Of 2 Wooden Market Crates,23.32,2
551192,22485,Set Of 2 Wooden Market Crates,23.32,2
551250,22485,Set Of 2 Wooden Market Crates,23.32,1
550986,22485,Set Of 2 Wooden Market Crates,35.83,1
550987,22485,Set Of 2 Wooden Market Crates,35.83,1
550912,22485,Set Of 2 Wooden Market Crates,23.32,2
550938,22485,Set Of 2 Wooden Market Crates,23.32,2
550350,22485,Set Of 2 Wooden Market Crates,23.32,2
550342,22485,Set Of 2 Wooden Market Crates,23.32,2
550213,22485,Set Of 2 Wooden Market Crates,35.83,2
550167,22485,Set Of 2 Wooden Market Crates,23.32,2
549981,22485,Set Of 2 Wooden Market Crates,23.32,1
549576,22485,Set Of 2 Wooden Market Crates,23.32,2
549564,22485,Set Of 2 Wooden Market Crates,23.32,1
549275,22485,Set Of 2 Wooden Market Crates,23.32,1
548917,22485,Set Of 2 Wooden Market Crates,23.32,2
548893,22485,Set Of 2 Wooden Market Crates,35.83,1
548894,22485,Set Of 2 Wooden Market Crates,35.83,2
548862,22485,Set Of 2 Wooden Market Crates,23.32,1
548522,22485,Set Of 2 Wooden Market Crates,35.83,1
548289,22485,Set Of 2 Wooden Market Crates,23.32,2
548335,22485,Set Of 2 Wooden Market Crates,23.32,2
548373,22485,Set Of 2 Wooden Market Crates,23.32,2
548191,22485,Set Of 2 Wooden Market Crates,35.83,3
548003,22485,Set Of 2 Wooden Market Crates,23.32,2
547922,22485,Set Of 2 Wooden Market Crates,23.32,2
547788,22485,Set Of 2 Wooden Market Crates,35.83,1
547547,22485,Set Of 2 Wooden Market Crates,35.83,2
547385,22485,Set Of 2 Wooden Market Crates,35.83,2
547094,22485,Set Of 2 Wooden Market Crates,23.32,2
546983,22485,Set Of 2 Wooden Market Crates,23.32,2
546891,22485,Set Of 2 Wooden Market Crates,35.83,3
546875,22485,Set Of 2 Wooden Market Crates,23.32,2
546883,22485,Set Of 2 Wooden Market Crates,23.32,2
546755,22485,Set Of 2 Wooden Market Crates,23.32,2
546636,22485,Set Of 2 Wooden Market Crates,23.32,2
546643,22485,Set Of 2 Wooden Market Crates,23.32,2
546509,22485,Set Of 2 Wooden Market Crates,23.32,2
546414,22485,Set Of 2 Wooden Market Crates,23.32,1
546079,22485,Set Of 2 Wooden Market Crates,23.32,1
545717,22485,Set Of 2 Wooden Market Crates,35.83,3
545688,22485,Set Of 2 Wooden Market Crates,23.32,1
545399,22485,Set Of 2 Wooden Market Crates,23.32,2
545073,22485,Set Of 2 Wooden Market Crates,23.32,2
545183,22485,Set Of 2 Wooden Market Crates,23.32,2
545184,22485,Set Of 2 Wooden Market Crates,23.32,2
545041,22485,Set Of 2 Wooden Market Crates,23.32,2
545052,22485,Set Of 2 Wooden Market Crates,23.32,2
544789,22485,Set Of 2 Wooden Market Crates,23.32,2
544791,22485,Set Of 2 Wooden Market Crates,23.32,2
544800,22485,Set Of 2 Wooden Market Crates,23.32,2
544802,22485,Set Of 2 Wooden Market Crates,23.32,2
544450,22485,Set Of 2 Wooden Market Crates,23.32,2
544209,22485,Set Of 2 Wooden Market Crates,23.32,2
544326,22485,Set Of 2 Wooden Market Crates,23.32,1
543983,22485,Set Of 2 Wooden Market Crates,23.32,2
544081,22485,Set Of 2 Wooden Market Crates,23.32,2
543907,22485,Set Of 2 Wooden Market Crates,23.32,1
543342,22485,Set Of 2 Wooden Market Crates,23.32,2
543116,22485,Set Of 2 Wooden Market Crates,23.32,2
542541,22485,Set Of 2 Wooden Market Crates,35.83,1
541878,22485,Set Of 2 Wooden Market Crates,35.83,2
541783,22485,Set Of 2 Wooden Market Crates,23.32,6
541695,22485,Set Of 2 Wooden Market Crates,35.83,1
541524,22485,Set Of 2 Wooden Market Crates,23.32,2
541424,22485,Set Of 2 Wooden Market Crates,35.83,1
541270,22485,Set Of 2 Wooden Market Crates,23.32,4
541132,22485,Set Of 2 Wooden Market Crates,35.83,1
540848,22485,Set Of 2 Wooden Market Crates,36.38,1
540288,22485,Set Of 2 Wooden Market Crates,23.32,1
539739,22485,Set Of 2 Wooden Market Crates,36.38,1
539418,22485,Set Of 2 Wooden Market Crates,23.32,2
537843,22485,Set Of 2 Wooden Market Crates,23.32,2
537265,22485,Set Of 2 Wooden Market Crates,23.32,2
536514,22485,Set Of 2 Wooden Market Crates,23.32,4
